Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,23,OKC,48,708,10.1,.572,.717,.190,2.0,6.6,4.3,4.9,1.5,0.6,8.6,16.1,,0.9,0.6,1.4,.098,,-0.3,-2.6,-2.9,-0.2
2,Quincy Acy\acyqu01,PF,26,TOT,18,182,15.8,.617,.462,.308,7.7,15.5,11.5,1.8,0.8,2.9,8.7,19.5,,0.3,0.1,0.4,.118,,-0.8,-3.1,-3.9,-0.1
2,Quincy Acy\acyqu01,PF,26,DAL,6,48,-1.3,.355,.412,.176,4.6,15.3,9.7,0.0,0.0,0.0,9.8,20.1,,-0.2,0.0,-0.1,-0.130,,-10.1,-6.0,-16.1,-0.2
2,Quincy Acy\acyqu01,PF,26,BRK,12,134,21.9,.703,.479,.354,8.8,15.5,12.2,2.5,1.1,3.9,8.3,19.3,,0.5,0.1,0.6,.206,,2.5,-2.1,0.4,0.1
3,Steven Adams\adamsst01,C,23,OKC,57,1756,17.3,.597,.004,.366,12.8,15.7,14.3,5.7,1.8,2.8,15.7,16.8,,2.7,2.3,5.1,.138,,-0.5,1.3,0.8,1.3
4,Arron Afflalo\afflaar01,SG,31,SAC,49,1253,8.3,.548,.386,.216,0.8,7.8,4.3,7.4,0.7,0.4,8.6,13.8,,0.8,0.3,1.0,.040,,-1.8,-2.1,-3.9,-0.6
5,Alexis Ajinca\ajincal01,C,28,NOP,24,355,10.8,.493,.031,.245,7.6,23.7,15.6,3.4,1.7,3.9,16.2,16.2,,-0.2,0.6,0.3,.045,,-6.4,1.6,-4.8,-0.2
6,Cole Aldrich\aldrico01,C,28,MIN,53,476,13.2,.553,.000,.284,11.3,24.2,17.7,7.2,2.4,4.0,14.4,9.0,,0.6,0.7,1.3,.133,,-1.7,3.2,1.5,0.4
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,53,1707,18.9,.540,.052,.299,8.6,17.3,13.1,10.4,0.9,2.8,8.2,24.6,,3.0,2.6,5.6,.158,,0.0,1.1,1.0,1.3
8,Lavoy Allen\allenla01,PF,27,IND,45,647,10.1,.464,.008,.159,10.8,14.4,12.6,9.4,1.2,2.0,13.5,10.8,,0.4,0.5,0.9,.067,,-2.4,1.1,-1.3,0.1
9,Tony Allen\allento01,SG,35,MEM,51,1419,13.1,.491,.076,.245,9.4,13.9,11.6,7.1,3.5,1.7,14.5,18.0,,-0.2,2.5,2.3,.076,,-2.3,3.0,0.7,1.0
10,Al-Farouq Aminu\aminual01,SF,26,POR,38,1104,10.7,.483,.467,.243,4.5,23.9,14.1,10.1,1.7,1.8,14.9,15.5,,-0.2,1.1,0.8,.036,,-2.5,1.1,-1.3,0.2
11,Chris Andersen\anderch01,C,38,CLE,12,114,11.6,.497,.136,.636,9.0,20.6,15.0,5.9,2.2,4.9,15.1,12.8,,0.1,0.2,0.3,.109,,-3.6,3.2,-0.4,0.0
12,Alan Anderson\anderal01,SF,34,LAC,24,271,4.9,.476,.556,.181,1.3,8.4,4.9,5.6,0.6,0.0,8.3,13.9,,-0.1,0.1,0.1,.010,,-2.9,-2.2,-5.1,-0.2
13,Justin Anderson\anderju01,SF,23,TOT,53,724,15.0,.523,.443,.316,6.3,19.1,12.4,7.4,2.1,2.0,11.3,23.7,,0.2,1.0,1.1,.075,,-1.7,-0.2,-2.0,0.0
13,Justin Anderson\anderju01,SF,23,DAL,51,710,15.0,.523,.442,.319,6.1,19.0,12.3,7.6,2.1,2.0,11.3,23.7,,0.2,0.9,1.1,.074,,-1.7,-0.1,-1.8,0.0
13,Justin Anderson\anderju01,SF,23,PHI,2,14,14.9,.543,.500,.167,15.7,23.6,19.6,0.0,3.5,0.0,13.4,23.1,,0.0,0.0,0.0,.102,,-2.8,-5.9,-8.7,0.0
14,Kyle Anderson\anderky01,SG,23,SAS,53,687,12.1,.525,.189,.333,3.6,18.4,11.2,11.0,2.5,2.4,15.1,11.7,,0.4,1.3,1.7,.121,,-2.2,3.6,1.4,0.6
15,Ryan Anderson\anderry01,PF,28,HOU,58,1766,13.6,.584,.635,.213,5.9,12.0,9.0,4.6,0.8,0.6,6.9,17.9,,3.3,1.1,4.4,.120,,1.7,-2.4,-0.7,0.6
16,Giannis Antetokounmpo\antetgi01,SF,22,MIL,57,2026,26.6,.608,.158,.463,6.1,21.6,14.0,26.5,2.5,4.8,13.8,28.2,,6.0,3.1,9.0,.214,,4.7,3.4,8.1,5.2
17,Carmelo Anthony\anthoca01,SF,32,NYK,59,2022,19.1,.543,.300,.262,2.7,16.0,9.3,14.9,1.2,1.1,8.9,29.9,,3.3,1.1,4.4,.104,,2.1,-2.3,-0.2,0.9
18,Joel Anthony\anthojo01,C,34,SAS,9,56,14.3,.676,.000,.250,12.5,19.7,16.2,2.4,0.9,2.9,10.1,8.0,,0.1,0.1,0.2,.190,,-0.8,1.1,0.4,0.0
19,Trevor Ariza\arizatr01,SF,31,HOU,61,2104,12.4,.544,.707,.140,2.3,15.5,8.9,9.0,2.6,0.6,7.9,14.3,,2.1,2.6,4.6,.106,,0.8,1.0,1.8,2.0
20,Darrell Arthur\arthuda01,PF,28,DEN,31,498,13.2,.608,.544,.059,4.6,14.4,9.5,10.0,1.2,2.5,15.2,17.3,,0.6,0.2,0.9,.082,,0.8,-1.0,-0.2,0.2
21,Omer Asik\asikom01,C,30,NOP,31,482,9.8,.517,.000,.600,10.4,25.4,17.8,4.3,0.5,1.7,14.6,8.8,,0.4,0.6,1.0,.096,,-4.4,0.9,-3.5,-0.2
22,D.J. Augustin\augusdj01,PG,29,ORL,59,1224,11.8,.537,.543,.305,0.8,7.0,3.8,21.8,1.0,0.1,12.8,19.2,,1.0,0.5,1.5,.058,,-0.2,-3.3,-3.5,-0.5
