Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,23,OKC,48,2,14.8,1.9,4.7,.398,1.3,3.4,.383,0.6,1.3,.438,.535,0.8,0.9,.884,0.3,0.9,1.2,0.5,0.4,0.1,0.5,1.6,5.8
2,Quincy Acy\acyqu01,PF,26,TOT,18,0,10.1,1.7,3.6,.462,0.8,1.7,.467,0.9,1.9,.457,.569,0.9,1.1,.850,0.7,1.4,2.2,0.1,0.2,0.4,0.4,1.4,5.1
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
2,Quincy Acy\acyqu01,PF,26,BRK,12,0,11.2,2.1,4.0,.521,1.1,1.9,.565,1.0,2.1,.480,.656,1.3,1.4,.882,0.9,1.7,2.6,0.2,0.3,0.6,0.4,1.3,6.5
3,Steven Adams\adamsst01,C,23,OKC,57,57,30.8,5.1,8.9,.572,0.0,0.0,.000,5.1,8.8,.575,.572,2.1,3.2,.659,3.6,4.4,8.0,1.1,1.1,1.1,1.9,2.4,12.3
4,Arron Afflalo\afflaar01,SG,31,SAC,49,34,25.6,2.8,6.5,.429,1.0,2.5,.390,1.8,4.0,.454,.505,1.2,1.4,.884,0.2,1.7,1.9,1.2,0.4,0.1,0.7,1.8,7.8
5,Alexis Ajinca\ajincal01,C,28,NOP,24,12,14.8,1.9,4.1,.459,0.0,0.1,.000,1.9,4.0,.474,.459,0.7,1.0,.708,1.1,3.3,4.4,0.3,0.5,0.7,0.9,1.9,4.5
6,Cole Aldrich\aldrico01,C,28,MIN,53,0,9.0,0.7,1.4,.527,0.0,0.0,,0.7,1.4,.527,.527,0.3,0.4,.667,0.9,1.8,2.7,0.5,0.4,0.4,0.3,1.5,1.7
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,53,53,32.2,6.8,14.3,.478,0.3,0.7,.436,6.5,13.5,.480,.489,3.5,4.3,.819,2.4,5.1,7.4,2.1,0.6,1.1,1.4,2.4,17.4
8,Lavoy Allen\allenla01,PF,27,IND,45,5,14.4,1.2,2.8,.444,0.0,0.0,.000,1.2,2.8,.448,.444,0.3,0.4,.650,1.4,1.9,3.2,1.0,0.3,0.3,0.5,1.2,2.8
9,Tony Allen\allento01,SG,35,MEM,51,49,27.8,3.9,8.5,.456,0.2,0.6,.242,3.7,7.9,.474,.466,1.3,2.1,.636,2.4,3.3,5.7,1.2,1.9,0.5,1.6,2.7,9.3
10,Al-Farouq Aminu\aminual01,SF,26,POR,38,23,29.1,2.9,7.9,.370,1.1,3.7,.307,1.8,4.2,.425,.442,1.5,1.9,.767,1.2,6.2,7.4,2.1,1.0,0.7,1.5,1.9,8.4
11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,0.8,1.6,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson\anderal01,SF,34,LAC,24,0,11.3,1.1,3.0,.361,0.5,1.7,.300,0.6,1.3,.438,.444,0.4,0.5,.769,0.1,0.9,1.0,0.5,0.1,0.0,0.3,1.1,3.1
13,Justin Anderson\anderju01,SF,23,TOT,53,2,13.7,2.2,5.3,.404,0.7,2.4,.296,1.5,3.0,.490,.470,1.3,1.7,.798,0.8,2.1,2.9,0.6,0.5,0.3,0.8,1.3,6.3
